# Every named label/address in the real Contra (US) ROM (RAM addresses and
# CPU code addresses alike), extracted from `vermiceli/nes-contra-us`'s own
# build output - this is real, personally-verified data, not guessed:
#
#   1. Install a C toolchain (this project used MSYS2's mingw64 gcc + make
#      on Windows; any gcc/make + git works).
#   2. git clone https://github.com/cc65/cc65.git && cd cc65 && make -j4
#      (produces bin/ca65, bin/ld65, etc.)
#   3. git clone https://github.com/vermiceli/nes-contra-us.git
#   4. Copy your own legally-dumped Contra (USA) ROM into that clone as
#      baserom.nes (MD5 7bdad8b4a7a56a634c9649d20bd3011b - the same ROM
#      contra-nes expects).
#   5. With cc65's bin/ on PATH: bash build.sh Contra
#      This reassembles the disassembly and prints "File integrity
#      matches." if (as it did when this file was generated) the result is
#      byte-for-byte identical to baserom.nes - the concrete confirmation
#      behind docs/NATIVE_PORT.md's trust in this source.
#   6. ld65 (invoked by build.sh) also writes contra.dbg, a full debug
#      symbol table. This file is:
#      grep '^sym.*type=lab' contra.dbg \
#        | sed -E 's/.*name="([^"]+)".*val=(0x[0-9A-Fa-f]+).*/\2 \1/' \
#        | sort
#
# Use this instead of the raw-byte-search technique (search the ROM for a
# routine's known opening instructions, convert the file offset to a CPU
# address by hand - still valid, just slower and only needed for anything
# NOT in this list, if that ever comes up) documented in
# docs/NATIVE_PORT.md and docs/FIDELITY.md: an exact address for almost any
# named routine or RAM variable, instantly, with no guessing. Cross-checked
# against two addresses already found the hard way before this file
# existed - `get_bg_collision` (0xE0BB) and `initialize_enemy` (0xEE47) -
# both match exactly.
#
# Regenerate this file (steps above) any time; it's a derived reference,
# not hand-maintained.
0x100 SOUND_CMD_LENGTH
0x106 SOUND_CODE
0x10C SOUND_PULSE_LENGTH
0x112 SOUND_CMD_LOW_ADDR
0x118 SOUND_CMD_HIGH_ADDR
0x11E SOUND_VOL_ENV
0x120 SOUND_CURRENT_SLOT
0x121 PERCUSSION_INDEX_BACKUP
0x122 INIT_SOUND_CODE
0x123 SOUND_CHNL_REG_OFFSET
0x124 SOUND_FLAGS
0x12A LVL_PULSE_VOL_INDEX
0x12A PULSE_VOL_DURATION
0x12F PAUSE_STATE_01
0x130 DECRESCENDO_END_PAUSE
0x132 SOUND_PITCH_ADJ
0x136 UNKNOWN_SOUND_00
0x13C UNKNOWN_SOUND_01
0x142 SOUND_CFG_LOW
0x144 SOUND_TRIANGLE_CFG
0x148 SOUND_REPEAT_COUNT
0x14E SOUND_CFG_HIGH
0x154 SOUND_LENGTH_MULTIPLIER
0x15A SOUND_PERIOD_ROTATE
0x160 PULSE_VOLUME
0x166 NEW_SOUND_CODE_LOW_ADDR
0x16C NEW_SOUND_CODE_HIGH_ADDR
0x172 SOUND_PULSE_PERIOD
0x178 VIBRATO_CTRL
0x17A SOUND_VOL_TIMER
0x17C PULSE_NOTE
0x17E VIBRATO_DELAY
0x18 GAME_ROUTINE_INDEX
0x180 VIBRATO_AMOUNT
0x19 GAME_END_ROUTINE_INDEX
0x19 GAME_ROUTINE_INIT_FLAG
0x190 LEVEL_END_DELAY_TIMER
0x191 LEVEL_END_SQ_1_TIMER
0x192 LEVEL_END_LVL_ROUTINE_STATE
0x194 LEVEL_END_PLAYERS_ALIVE
0x195 SOLDIER_GEN_SCREEN
0x196 SCREEN_GEN_SOLDIERS
0x1A FRAME_COUNTER
0x1B NMI_CHECK
0x1C DEMO_MODE
0x1D PLAYER_MODE_1D
0x1F DEMO_LEVEL_END_FLAG
0x20 PPU_READY
0x200 OAMDMA_CPU_BUFFER
0x21 GRAPHICS_BUFFER_OFFSET
0x22 PLAYER_MODE
0x23 GRAPHICS_BUFFER_MODE
0x24 KONAMI_CODE_STATUS
0x25 PAUSE_STATE
0x27 DEMO_LEVEL
0x28 INTRO_THEME_DELAY
0x29 GAME_OVER_DELAY_TIMER
0x2A DELAY_TIME_LOW_BYTE
0x2B DELAY_TIME_HIGH_BYTE
0x2C LEVEL_ROUTINE_INDEX
0x2D END_LEVEL_ROUTINE_INDEX
0x2E DEMO_FIRE_DELAY_TIMER
0x2F PLAYER_WEAPON_STRENGTH
0x30 CURRENT_LEVEL
0x300 CPU_SPRITE_BUFFER
0x300 PLAYER_SPRITES
0x30A ENEMY_SPRITES
0x31 GAME_COMPLETION_COUNT
0x31A SPRITE_Y_POS
0x32 P1_NUM_LIVES
0x324 ENEMY_Y_POS
0x33 P2_NUM_LIVES
0x334 SPRITE_X_POS
0x33E ENEMY_X_POS
0x34 RANDOM_NUM
0x34E SPRITE_ATTR
0x35 OAMDMA_CPU_BUFFER_OFFSET
0x358 ENEMY_SPRITE_ATTR
0x36 NUM_PALETTES_TO_LOAD
0x368 PLAYER_BULLET_SPRITE_CODE
0x37 INDOOR_SCREEN_CLEARED
0x378 PLAYER_BULLET_SPRITE_ATTR
0x38 P1_GAME_OVER_STATUS
0x388 PLAYER_BULLET_SLOT
0x39 P2_GAME_OVER_STATUS
0x398 PLAYER_BULLET_Y_VEL_ACCUM
0x3A NUM_CONTINUES
0x3A8 PLAYER_BULLET_X_VEL_ACCUM
0x3B BOSS_DEFEATED_FLAG
0x3B8 PLAYER_BULLET_Y_POS
